model,n,warmup,mean_ms,sd_ms,median_ms,p95_ms,min_ms,max_ms,model_file
MobileNetV2,100,10,6.2179629400066005,0.7595628848570759,5.936267499976111,7.802995000002964,5.570735000105742,9.364207999965402,/content/drive/MyDrive/Cataract/weights of models .h5/MobileNetV2_FineTune.h5
DenseNet201,100,10,28.658051309998882,5.866200665189774,26.51625900000454,42.70691395005314,24.481133000108457,53.18034300000818,/content/drive/MyDrive/Cataract/weights of models .h5/DenseNet201_FineTune.h5
InceptionResNetV2,100,10,30.747757079989242,6.106415222364366,26.96970750002947,44.33732684992719,25.285789999998087,48.87999000015952,/content/drive/MyDrive/Cataract/weights of models .h5/InceptionResNetV2_FineTune.h5
ResNet152V2,100,10,25.60545492000074,1.60425607566286,25.301471000034326,27.688695350036596,23.691341000130706,33.62956299997677,/content/drive/MyDrive/Cataract/weights of models .h5/ResNet152V2_FineTune.h5
Xception,100,10,9.403172999993785,0.34416432702220656,9.319481000034102,10.075933249891023,8.973782000111896,11.114315999975588,/content/drive/MyDrive/Cataract/weights of models .h5/Xception_FineTune.h5
