Condition,ThreeClass_Accuracy,Clinical_Accuracy,Clinical_Sensitivity,Clinical_Specificity,Clinical_AUC,keras_size_mb,tflite_size_mb,Mean_ms,SD_ms,Median_ms,P95_ms,Throughput_images_per_second,Max_Absolute_Probability_Difference,Class_Agreement,ThreeClass_Accuracy_pct,Clinical_Accuracy_pct
Frozen,0.993042,0.990715,0.990632,0.990788,0.999111,13.619561195373535,9.918525695800781,8.053468750003958,0.9778486243516107,7.765159999991056,10.181704550018367,124.17009751226867,1.1324882507324219e-06,1.0,99.3042,99.0715
LastBlock,0.996908,0.995631,0.994145,0.996929,0.9999,20.388007164001465,9.918525695800781,7.803352650000193,1.0481805073016615,7.51592649999111,10.172398899956647,128.15004586521863,2.253800630569458e-07,1.0,99.6908,99.5631
